SalesOrderID,TotalDue,AddressID,TerritoryID,TerritoryName,CountryRegionCode,GroupName,StateProvinceID,StateProvinceCode,StateProvinceName,CountryRegionName
61285,79.0959,14547,1,Northwest,US,North America,79,WA ,Washington,United States
61199,77496.5842,889,1,Northwest,US,North America,82,WY ,Wyoming,United States
61291,77.339,22078,1,Northwest,US,North America,58,OR ,Oregon,United States
61207,2929.4619,895,1,Northwest,US,North America,79,WA ,Washington,United States
61185,612.2062,893,1,Northwest,US,North America,82,WY ,Wyoming,United States
61202,5829.5743,875,1,Northwest,US,North America,82,WY ,Wyoming,United States
61267,35656.8232,888,1,Northwest,US,North America,79,WA ,Washington,United States
61283,66.8194,28016,1,Northwest,US,North America,79,WA ,Washington,United States
61266,17230.3345,904,1,Northwest,US,North America,79,WA ,Washington,United States
61289,77.3169,23199,1,Northwest,US,North America,58,OR ,Oregon,United States
61244,72726.6433,845,1,Northwest,US,North America,23,ID ,Idaho,United States
61293,99.4169,13423,1,Northwest,US,North America,79,WA ,Washington,United States
61241,35095.9572,882,1,Northwest,US,North America,58,OR ,Oregon,United States
61213,10031.4022,860,1,Northwest,US,North America,79,WA ,Washington,United States
61253,899.012,1101,1,Northwest,US,North America,74,UT ,Utah,United States
61182,69794.6423,849,1,Northwest,US,North America,79,WA ,Washington,United States
61183,38.7783,877,1,Northwest,US,North America,23,ID ,Idaho,United States
61260,859.232,871,1,Northwest,US,North America,79,WA ,Washington,United States
61187,72.9167,855,1,Northwest,US,North America,79,WA ,Washington,United States
61195,53428.9044,865,1,Northwest,US,North America,79,WA ,Washington,United States
61281,27.614,16922,1,Northwest,US,North America,79,WA ,Washington,United States
61295,8.0444,12356,1,Northwest,US,North America,79,WA ,Washington,United States
61256,201.0813,868,1,Northwest,US,North America,79,WA ,Washington,United States
61301,2740.3337,27276,1,Northwest,US,North America,58,OR ,Oregon,United States
61747,136.9979,11571,1,Northwest,US,North America,79,WA ,Washington,United States
61766,2602.2529,13883,1,Northwest,US,North America,58,OR ,Oregon,United States
61752,75.6815,12673,1,Northwest,US,North America,79,WA ,Washington,United States
61771,2626.5408,25385,1,Northwest,US,North America,79,WA ,Washington,United States
61757,62.9519,29492,1,Northwest,US,North America,79,WA ,Washington,United States
61767,2580.1419,21065,1,Northwest,US,North America,58,OR ,Oregon,United States
61768,2626.5408,27432,1,Northwest,US,North America,79,WA ,Washington,United States
61738,27.614,29267,1,Northwest,US,North America,79,WA ,Washington,United States
61751,15.4479,15723,1,Northwest,US,North America,58,OR ,Oregon,United States
61769,2616.5627,26750,1,Northwest,US,North America,79,WA ,Washington,United States
61754,71.2394,24035,1,Northwest,US,North America,79,WA ,Washington,United States
61748,136.9979,24670,1,Northwest,US,North America,79,WA ,Washington,United States
61776,2634.3974,15542,1,Northwest,US,North America,79,WA ,Washington,United States
61775,1402.0682,21950,1,Northwest,US,North America,79,WA ,Washington,United States
62249,32.034,19386,1,Northwest,US,North America,79,WA ,Washington,United States
62250,36.023,14552,1,Northwest,US,North America,79,WA ,Washington,United States
62252,49.9681,15959,1,Northwest,US,North America,79,WA ,Washington,United States
62279,2659.7792,18746,1,Northwest,US,North America,79,WA ,Washington,United States
62271,2619.9108,12971,1,Northwest,US,North America,58,OR ,Oregon,United States
63143,116.4959,1008,1,Northwest,US,North America,52,NV ,Nevada,United States
